what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396301539944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396301551086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396301606265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396301863930
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1396301881250
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301881288
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1396301881289
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1396301896096
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301904512
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301904524
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301904524
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1396301984996
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301985270
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301985285
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301990516
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301990516
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1396301994335
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301994574
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301994594
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301998768
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396301998768
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1396302015656
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396302015886
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1396302015912
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1396302026294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396302043859
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1396302044786
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1396302044826
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1396302044918
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1396302044928
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1396302044977
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1396302045254
