what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1382292314297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382292315918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382292317021
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1382292324974
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1382292330148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1382292333803
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1382292335054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1382292336064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382292336327
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1382292338440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382292341427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382292344488
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1382292346977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382292353137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382292387673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382292390644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382292433673
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1382292435913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1382292446790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1382292447815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382292448688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1382292478934
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1382292480629
